,index,횟수
0,작동기기,15267
1,"담뱃불, 라이터불",9592
2,미상(발화원인),4474
3,"불꽃, 불티",8943
4,"마찰, 전도, 복사",4125
5,화학적 발화열,341
6,"폭발물, 폭죽",47
7,기타(발화원인),1405
8,자연적 발화열,241
